"","id","RQ1","Q3","Q4","RQ2A2","C총액1인MIS","RDAY평균","Q7","D_BUN","D_SEX","D_AGE","체류1순위","체류2순위","D_NAT_CLUST","만족한활동","class"
"1",289,"4","2","1","12","3","2","5","1","1","2","서울일TOT","없음","유럽","4","2"
"2",306,"1","3","1","2","3","4","4","1","1","5","부산일TOT","없음","기타","14","4"
"3",324,"1","2","1","11","1","1","5","1","1","2","서울일TOT","없음","동아시아","2","2"
"4",327,"1","1","1","12","3","2","5","1","1","5","서울일TOT","없음","기타","4","1"
"5",328,"1","3","1","2","3","4","4","1","1","5","부산일TOT","없음","기타","1","4"
"6",354,"3","2","1","12","3","2","5","1","1","6","서울일TOT","없음","기타","1","2"
"7",358,"3","2","1","12","3","2","5","1","2","5","서울일TOT","없음","기타","1","2"
"8",365,"4","2","1","12","3","2","5","1","1","4","인천일TOT","부산일TOT","유럽","3","2"
"9",370,"1","3","1","3","2","3","4","1","1","2","서울일TOT","없음","기타","2","4"
"10",372,"1","3","1","3","2","3","4","1","1","2","서울일TOT","없음","기타","2","4"
"11",384,"4","3","1","12","3","2","5","1","1","3","인천일TOT","없음","오세아니아,중동","14","4"
"12",399,"1","3","1","11","5","3","4","1","1","2","세종일TOT","서울일TOT","기타","14","4"
"13",451,"1","3","1","11","4","4","5","1","1","3","서울일TOT","부산일TOT","기타","14","4"
"14",467,"2","2","1","12","5","3","5","1","2","5","인천일TOT","없음","유럽","1","2"
"15",471,"4","2","1","12","4","2","5","1","2","3","서울일TOT","인천일TOT","유럽","8","2"
"16",489,"1","3","1","12","4","2","5","1","1","2","경기일TOT","없음","북아메리카","14","4"
"17",494,"1","3","1","11","5","3","4","1","1","4","제주일TOT","없음","동아시아","1","4"
"18",507,"4","2","1","12","3","1","5","1","2","5","경기일TOT","없음","동아시아","1","2"
"19",512,"1","4","1","12","4","2","5","1","1","2","서울일TOT","부산일TOT","동아시아","1","2"
"20",522,"2","4","1","11","5","3","5","1","2","2","서울일TOT","부산일TOT","동남아시아","15","1"
"21",531,"2","3","1","3","5","5","5","1","2","2","서울일TOT","없음","동남아시아","1","4"
"22",532,"2","3","1","11","3","3","4","1","1","4","경기일TOT","없음","북아메리카","14","4"
