"","class 1: ","class 2: ","class 3: ","class 4: "
"RQ1.1",0.695,0.439,0.331,0.354
"RQ1.2",0.156,0.172,0.196,0.172
"RQ1.3",0.066,0.098,0.124,0.112
"RQ1.4",0.083,0.291,0.349,0.362
"Q3.1",0.722,0.145,0.842,0.004
"Q3.2",0.18,0.45,0.067,0.004
"Q3.3",0.029,0.19,0.069,0.988
"Q3.4",0.069,0.09,0.007,0.001
"Q3.5",0,0.009,0,0.001
"Q3.6",0,0.116,0.015,0.001
"Q4.1",0.964,0.926,0.884,0.857
"Q4.2",0.006,0.022,0.036,0.115
"Q4.3",0.029,0.052,0.079,0.027
"RQ2A2.1",0,0.008,0.172,0.09
"RQ2A2.2",0.126,0.127,0.667,0.541
"RQ2A2.3",0.229,0.175,0.122,0.148
"RQ2A2.11",0.583,0.491,0.039,0.184
"RQ2A2.12",0.061,0.199,0,0.038
"C총액1인MIS.1",0.018,0.09,0.329,0.044
"C총액1인MIS.2",0.223,0.241,0.403,0.16
"C총액1인MIS.3",0.349,0.297,0.171,0.236
"C총액1인MIS.4",0.318,0.262,0.067,0.329
"C총액1인MIS.5",0.092,0.11,0.03,0.231
"RDAY평균.1",0.008,0.081,0.028,0.01
"RDAY평균.2",0.083,0.192,0.064,0.022
"RDAY평균.3",0.633,0.513,0.501,0.222
"RDAY평균.4",0.201,0.16,0.268,0.294
"RDAY평균.5",0.075,0.054,0.138,0.452
"Q7.1",0.001,0.001,0.001,0.001
"Q7.2",0.001,0.003,0.004,0.002
"Q7.3",0.007,0.022,0.024,0.041
"Q7.4",0.156,0.201,0.257,0.349
"Q7.5",0.835,0.773,0.715,0.607
"D_BUN.1",0.037,0.14,0.018,0.115
"D_BUN.2",0.298,0.316,0.13,0.321
"D_BUN.3",0.416,0.341,0.249,0.298
"D_BUN.4",0.249,0.202,0.603,0.266
"D_SEX.1",0.349,0.495,0.27,0.857
"D_SEX.2",0.651,0.505,0.73,0.143
"D_AGE.1",0.077,0.066,0.039,0.001
"D_AGE.2",0.51,0.336,0.386,0.131
"D_AGE.3",0.204,0.279,0.264,0.329
"D_AGE.4",0.095,0.141,0.173,0.299
"D_AGE.5",0.082,0.097,0.103,0.197
"D_AGE.6",0.032,0.08,0.035,0.043
"체류1순위.강원일TOT",0,0.027,0.002,0.01
"체류1순위.경기일TOT",0,0.265,0.001,0.145
"체류1순위.경남일TOT",0.001,0.033,0,0.043
"체류1순위.경북일TOT",0,0.03,0.001,0.016
"체류1순위.광주일TOT",0,0.02,0.001,0.006
"체류1순위.대구일TOT",0.002,0.034,0.002,0.044
"체류1순위.대전일TOT",0,0.032,0.002,0.022
"체류1순위.부산일TOT",0,0.084,0.014,0.05
"체류1순위.서울일TOT",0.994,0.257,0.893,0.512
"체류1순위.세종일TOT",0,0.008,0,0.007
"체류1순위.울산일TOT",0,0.013,0,0.02
"체류1순위.인천일TOT",0,0.071,0.019,0.062
"체류1순위.전남일TOT",0,0.019,0,0.011
"체류1순위.전북일TOT",0,0.014,0.001,0.011
"체류1순위.제주일TOT",0.002,0.051,0.063,0.007
"체류1순위.충남일TOT",0.001,0.022,0,0.021
"체류1순위.충북일TOT",0,0.02,0.001,0.014
"체류2순위.강원일TOT",0.048,0.029,0.04,0.006
"체류2순위.경기일TOT",0.038,0.029,0.038,0.042
"체류2순위.경남일TOT",0.011,0.007,0,0.01
"체류2순위.경북일TOT",0.025,0.012,0.003,0.007
"체류2순위.광주일TOT",0.007,0.002,0.001,0.003
"체류2순위.대구일TOT",0.013,0.008,0.001,0.017
"체류2순위.대전일TOT",0.007,0.008,0,0.013
"체류2순위.부산일TOT",0.309,0.03,0.044,0.038
"체류2순위.서울일TOT",0,0.377,0.02,0.138
"체류2순위.세종일TOT",0.002,0.003,0.002,0.004
"체류2순위.없음",0.342,0.42,0.79,0.663
"체류2순위.울산일TOT",0.005,0.001,0.002,0.01
"체류2순위.인천일TOT",0.028,0.019,0.022,0.03
"체류2순위.전남일TOT",0.004,0.006,0,0.006
"체류2순위.전북일TOT",0.009,0.004,0.005,0.004
"체류2순위.제주일TOT",0.147,0.035,0.029,0.002
"체류2순위.충남일TOT",0.002,0.006,0.001,0.004
"체류2순위.충북일TOT",0.003,0.005,0.001,0.003
"D_NAT_CLUST.기타",0.213,0.171,0.02,0.232
"D_NAT_CLUST.동남아시아",0.235,0.121,0.427,0.112
"D_NAT_CLUST.동아시아",0.012,0.198,0.475,0.185
"D_NAT_CLUST.북아메리카",0.216,0.288,0.045,0.205
"D_NAT_CLUST.오세아니아.중동",0.073,0.079,0.023,0.077
"D_NAT_CLUST.유럽",0.251,0.143,0.01,0.189
"만족한활동.1",0.146,0.193,0.269,0.084
"만족한활동.2",0.167,0.189,0.344,0.111
"만족한활동.3",0.185,0.156,0.118,0.043
"만족한활동.4",0.205,0.115,0.047,0.079
"만족한활동.5",0.082,0.047,0.018,0.01
"만족한활동.6",0.05,0.037,0.013,0.022
"만족한활동.7",0.035,0.009,0.061,0
"만족한활동.8",0.015,0.003,0.019,0
"만족한활동.9",0.009,0.006,0.013,0.003
"만족한활동.10",0.006,0.009,0.001,0.002
"만족한활동.11",0.054,0.023,0.043,0.015
"만족한활동.12",0.015,0.027,0.034,0.001
"만족한활동.13",0.015,0.093,0.009,0.001
"만족한활동.14",0,0.004,0.001,0.615
"만족한활동.15",0.009,0.031,0.001,0.007
"만족한활동.16",0,0,0,0.006
"만족한활동.17",0.005,0.059,0.008,0.001
