RQ1,Q3,Q4,RQ2A2,C총액1인MIS,RDAY평균,Q7,D_BUN,D_SEX,D_AGE,체류1순위,체류2순위,D_NAT_CLUST,만족한활동
4,2,1,12,3,2.0,5,1,1,2,서울일TOT,없음,유럽,4
1,3,1,2,3,4.0,4,1,1,5,부산일TOT,없음,기타,14
1,2,1,11,1,1.0,5,1,1,2,서울일TOT,없음,동아시아,2
1,1,1,12,3,2.0,5,1,1,5,서울일TOT,없음,기타,4
1,3,1,2,3,4.0,4,1,1,5,부산일TOT,없음,기타,1
3,2,1,12,3,2.0,5,1,1,6,서울일TOT,없음,기타,1
3,2,1,12,3,2.0,5,1,2,5,서울일TOT,없음,기타,1
4,2,1,12,3,2.0,5,1,1,4,인천일TOT,부산일TOT,유럽,3
1,3,1,3,2,3.0,4,1,1,2,서울일TOT,없음,기타,2
1,3,1,3,2,3.0,4,1,1,2,서울일TOT,없음,기타,2
4,3,1,12,3,2.0,5,1,1,3,인천일TOT,없음,"오세아니아,중동",14
1,3,1,11,5,3.0,4,1,1,2,세종일TOT,서울일TOT,기타,14
1,3,1,11,4,4.0,5,1,1,3,서울일TOT,부산일TOT,기타,14
2,2,1,12,5,3.0,5,1,2,5,인천일TOT,없음,유럽,1
4,2,1,12,4,2.0,5,1,2,3,서울일TOT,인천일TOT,유럽,8
1,3,1,12,4,2.0,5,1,1,2,경기일TOT,없음,북아메리카,14
1,3,1,11,5,3.0,4,1,1,4,제주일TOT,없음,동아시아,1
4,2,1,12,3,1.0,5,1,2,5,경기일TOT,없음,동아시아,1
1,4,1,12,4,2.0,5,1,1,2,서울일TOT,부산일TOT,동아시아,1
2,4,1,11,5,3.0,5,1,2,2,서울일TOT,부산일TOT,동남아시아,15
2,3,1,3,5,5.0,5,1,2,2,서울일TOT,없음,동남아시아,1
2,3,1,11,3,3.0,4,1,1,4,경기일TOT,없음,북아메리카,14
2,1,1,3,5,5.0,5,1,2,3,서울일TOT,없음,동남아시아,1
4,1,1,2,1,3.0,5,1,1,3,서울일TOT,경기일TOT,동남아시아,2
4,2,1,12,4,3.0,5,1,1,2,경기일TOT,없음,"오세아니아,중동",2
4,4,1,12,4,3.0,5,1,1,2,서울일TOT,전남일TOT,동남아시아,15
4,1,1,12,4,3.0,5,1,2,2,서울일TOT,부산일TOT,동남아시아,3
4,1,1,12,4,3.0,5,1,1,2,서울일TOT,부산일TOT,동남아시아,1
4,3,1,12,5,3.0,5,1,1,6,울산일TOT,없음,동남아시아,14
2,2,1,12,5,3.0,5,1,1,2,서울일TOT,울산일TOT,북아메리카,2
4,3,3,11,5,4.0,5,1,2,2,서울일TOT,없음,동남아시아,14
3,3,1,12,5,3.0,5,1,1,4,충북일TOT,없음,동남아시아,14
4,3,1,2,4,5.0,4,1,1,3,전남일TOT,없음,기타,14
1,3,1,1,4,5.0,5,1,1,5,충북일TOT,없음,기타,14
4,4,1,12,5,3.0,4,1,2,2,대전일TOT,없음,동아시아,2
