기준년월,지자체,방문자 구분,방문자수
202207,서울특별시,현지인방문자(a),1.50768205E8
202207,서울특별시,외지인방문자(b),4.861473E7
202207,서울특별시,외국인방문자(c),447048.0
202207,서울특별시,외부방문자(b+c),4.9061779E7
202207,서울특별시,전체방문자(a+b+c),1.99829984E8
202207,부산광역시,현지인방문자(a),4.840529E7
202207,부산광역시,외지인방문자(b),1.2475754E7
202207,부산광역시,외국인방문자(c),129435.0
202207,부산광역시,외부방문자(b+c),1.2605189E7
202207,부산광역시,전체방문자(a+b+c),6.1010479E7
202207,대구광역시,현지인방문자(a),3.510431E7
202207,대구광역시,외지인방문자(b),1.1791269E7
202207,대구광역시,외국인방문자(c),22456.0
202207,대구광역시,외부방문자(b+c),1.1813725E7
202207,대구광역시,전체방문자(a+b+c),4.6918036E7
202207,인천광역시,현지인방문자(a),4.0751718E7
202207,인천광역시,외지인방문자(b),1.3940486E7
202207,인천광역시,외국인방문자(c),207039.0
202207,인천광역시,외부방문자(b+c),1.4147525E7
202207,인천광역시,전체방문자(a+b+c),5.4899243E7
202207,광주광역시,현지인방문자(a),2.2984776E7
202207,광주광역시,외지인방문자(b),8823314.0
202207,광주광역시,외국인방문자(c),11536.0
202207,광주광역시,외부방문자(b+c),8834851.0
202207,광주광역시,전체방문자(a+b+c),3.1819627E7
202207,대전광역시,현지인방문자(a),2.3424566E7
202207,대전광역시,외지인방문자(b),6574540.0
202207,대전광역시,외국인방문자(c),15958.0
202207,대전광역시,외부방문자(b+c),6590498.0
202207,대전광역시,전체방문자(a+b+c),3.0015063E7
202207,울산광역시,현지인방문자(a),1.7579776E7
202207,울산광역시,외지인방문자(b),4129534.0
202207,울산광역시,외국인방문자(c),41823.0
202207,울산광역시,외부방문자(b+c),4171357.0
202207,울산광역시,전체방문자(a+b+c),2.1751133E7
202207,세종특별자치시,현지인방문자(a),5480976.0
202207,세종특별자치시,외지인방문자(b),2296676.0
202207,세종특별자치시,외국인방문자(c),4999.0
202207,세종특별자치시,외부방문자(b+c),2301674.0
202207,세종특별자치시,전체방문자(a+b+c),7782650.0
202207,경기도,현지인방문자(a),2.03170174E8
202207,경기도,외지인방문자(b),5.3632761E7
202207,경기도,외국인방문자(c),321441.0
202207,경기도,외부방문자(b+c),5.3954202E7
202207,경기도,전체방문자(a+b+c),2.57124376E8
202207,강원도,현지인방문자(a),2.9719256E7
202207,강원도,외지인방문자(b),1.6093592E7
202207,강원도,외국인방문자(c),34537.0
202207,강원도,외부방문자(b+c),1.6128129E7
202207,강원도,전체방문자(a+b+c),4.5847385E7
202207,충청북도,현지인방문자(a),2.594515E7
202207,충청북도,외지인방문자(b),9831616.0
202207,충청북도,외국인방문자(c),25488.0
