기준년월,지자체,방문자 구분,방문자수
202207,서울특별시,외지인방문자(b),2.2905828E7
202207,서울특별시,외국인방문자(c),451111.0
202207,서울특별시,외부방문자(b+c),2.335694E7
202207,부산광역시,외지인방문자(b),7636922.0
202207,부산광역시,외국인방문자(c),106815.0
202207,부산광역시,외부방문자(b+c),7743738.0
202207,대구광역시,외지인방문자(b),4245876.0
202207,대구광역시,외국인방문자(c),34814.0
202207,대구광역시,외부방문자(b+c),4280689.0
202207,인천광역시,외지인방문자(b),8022102.0
202207,인천광역시,외국인방문자(c),168803.0
202207,인천광역시,외부방문자(b+c),8190905.0
202207,광주광역시,외지인방문자(b),2544300.0
202207,광주광역시,외국인방문자(c),24035.0
202207,광주광역시,외부방문자(b+c),2568335.0
202207,대전광역시,외지인방문자(b),3342075.0
202207,대전광역시,외국인방문자(c),27251.0
202207,대전광역시,외부방문자(b+c),3369326.0
202207,울산광역시,외지인방문자(b),2442744.0
202207,울산광역시,외국인방문자(c),51986.0
202207,울산광역시,외부방문자(b+c),2494729.0
202207,세종특별자치시,외지인방문자(b),1554781.0
202207,세종특별자치시,외국인방문자(c),9074.0
202207,세종특별자치시,외부방문자(b+c),1563855.0
202207,경기도,외지인방문자(b),2.6003971E7
202207,경기도,외국인방문자(c),442358.0
202207,경기도,외부방문자(b+c),2.6446329E7
202207,강원도,외지인방문자(b),1.4863355E7
202207,강원도,외국인방문자(c),57331.0
202207,강원도,외부방문자(b+c),1.4920686E7
202207,충청북도,외지인방문자(b),6672006.0
202207,충청북도,외국인방문자(c),66244.0
202207,충청북도,외부방문자(b+c),6738250.0
202207,충청남도,외지인방문자(b),1.0155198E7
202207,충청남도,외국인방문자(c),85510.0
202207,충청남도,외부방문자(b+c),1.0240708E7
202207,전라북도,외지인방문자(b),5398602.0
202207,전라북도,외국인방문자(c),51233.0
202207,전라북도,외부방문자(b+c),5449834.0
202207,전라남도,외지인방문자(b),8090720.0
202207,전라남도,외국인방문자(c),87552.0
202207,전라남도,외부방문자(b+c),8178273.0
202207,경상북도,외지인방문자(b),1.1681416E7
202207,경상북도,외국인방문자(c),80137.0
202207,경상북도,외부방문자(b+c),1.1761553E7
202207,경상남도,외지인방문자(b),9589003.0
202207,경상남도,외국인방문자(c),112767.0
202207,경상남도,외부방문자(b+c),9701770.0
202207,제주특별자치도,외지인방문자(b),5117953.0
202207,제주특별자치도,외국인방문자(c),47658.0
202207,제주특별자치도,외부방문자(b+c),5165612.0
202208,서울특별시,외지인방문자(b),2.2561185E7
202208,서울특별시,외국인방문자(c),549393.0
202208,서울특별시,외부방문자(b+c),2.3110578E7
202208,부산광역시,외지인방문자(b),8378730.0
202208,부산광역시,외국인방문자(c),130976.0
202208,부산광역시,외부방문자(b+c),8509707.0
202208,대구광역시,외지인방문자(b),4365944.0
202208,대구광역시,외국인방문자(c),41668.0
202208,대구광역시,외부방문자(b+c),4407612.0
202208,인천광역시,외지인방문자(b),8339554.0
202208,인천광역시,외국인방문자(c),205777.0
202208,인천광역시,외부방문자(b+c),8545332.0
202208,광주광역시,외지인방문자(b),2650520.0
202208,광주광역시,외국인방문자(c),27134.0
202208,광주광역시,외부방문자(b+c),2677654.0
202208,대전광역시,외지인방문자(b),3382722.0
202208,대전광역시,외국인방문자(c),32616.0
202208,대전광역시,외부방문자(b+c),3415338.0
202208,울산광역시,외지인방문자(b),2733373.0
202208,울산광역시,외국인방문자(c),54820.0
202208,울산광역시,외부방문자(b+c),2788193.0
202208,세종특별자치시,외지인방문자(b),1535381.0
202208,세종특별자치시,외국인방문자(c),10993.0
202208,세종특별자치시,외부방문자(b+c),1546374.0
202208,경기도,외지인방문자(b),2.5956938E7
202208,경기도,외국인방문자(c),524231.0
202208,경기도,외부방문자(b+c),2.648117E7
202208,강원도,외지인방문자(b),1.7773896E7
202208,강원도,외국인방문자(c),62000.0
202208,강원도,외부방문자(b+c),1.7835896E7
202208,충청북도,외지인방문자(b),7175840.0
202208,충청북도,외국인방문자(c),74788.0
202208,충청북도,외부방문자(b+c),7250628.0
202208,충청남도,외지인방문자(b),1.0961196E7
202208,충청남도,외국인방문자(c),98677.0
202208,충청남도,외부방문자(b+c),1.1059873E7
202208,전라북도,외지인방문자(b),6327904.0
202208,전라북도,외국인방문자(c),55416.0
202208,전라북도,외부방문자(b+c),6383320.0
202208,전라남도,외지인방문자(b),9625226.0
202208,전라남도,외국인방문자(c),97152.0
202208,전라남도,외부방문자(b+c),9722378.0
202208,경상북도,외지인방문자(b),1.3563645E7
202208,경상북도,외국인방문자(c),97654.0
202208,경상북도,외부방문자(b+c),1.3661299E7
202208,경상남도,외지인방문자(b),1.1028794E7
202208,경상남도,외국인방문자(c),132460.0
202208,경상남도,외부방문자(b+c),1.1161254E7
202208,제주특별자치도,외지인방문자(b),5752710.0
202208,제주특별자치도,외국인방문자(c),64017.0
202208,제주특별자치도,외부방문자(b+c),5816727.0
202209,서울특별시,외지인방문자(b),2.2797666E7
202209,서울특별시,외국인방문자(c),594527.0
202209,서울특별시,외부방문자(b+c),2.3392193E7
202209,부산광역시,외지인방문자(b),7201488.0
