광역지자체명,기초지자체명,광역지자체 방문자 수,광역지자체 방문자 비율,기초지자체 방문자 수,기초지자체 방문자 비율
강원도,고성군,375210.0,2.2,21901.0,5.8
강원도,춘천시,375210.0,2.2,78767.0,21.0
강원도,원주시,375210.0,2.2,31033.0,8.3
강원도,강릉시,375210.0,2.2,45768.0,12.2
강원도,동해시,375210.0,2.2,19027.0,5.1
강원도,태백시,375210.0,2.2,2196.0,0.6
강원도,속초시,375210.0,2.2,45741.0,12.2
강원도,삼척시,375210.0,2.2,14758.0,3.9
강원도,홍천군,375210.0,2.2,24330.0,6.5
강원도,횡성군,375210.0,2.2,11643.0,3.1
강원도,영월군,375210.0,2.2,3922.0,1.0
강원도,평창군,375210.0,2.2,31767.0,8.5
강원도,정선군,375210.0,2.2,7806.0,2.1
강원도,철원군,375210.0,2.2,4437.0,1.2
강원도,화천군,375210.0,2.2,3222.0,0.9
강원도,양구군,375210.0,2.2,2854.0,0.8
강원도,인제군,375210.0,2.2,7529.0,2.0
강원도,양양군,375210.0,2.2,18508.0,4.9
경기도,고양시 덕양구,2192939.0,12.8,70859.0,3.2
경기도,고양시 일산동구,2192939.0,12.8,51983.0,2.4
경기도,고양시 일산서구,2192939.0,12.8,50939.0,2.3
경기도,성남시 수정구,2192939.0,12.8,33753.0,1.5
경기도,성남시 중원구,2192939.0,12.8,16499.0,0.8
경기도,성남시 분당구,2192939.0,12.8,108905.0,5.0
경기도,수원시 장안구,2192939.0,12.8,29083.0,1.3
경기도,수원시 권선구,2192939.0,12.8,36403.0,1.7
경기도,수원시 팔달구,2192939.0,12.8,64454.0,2.9
경기도,수원시 영통구,2192939.0,12.8,62548.0,2.9
경기도,안산시 상록구,2192939.0,12.8,30895.0,1.4
경기도,의정부시,2192939.0,12.8,28753.0,1.3
경기도,안산시 단원구,2192939.0,12.8,77866.0,3.6
경기도,안양시 만안구,2192939.0,12.8,21124.0,1.0
경기도,부천시,2192939.0,12.8,74185.0,3.4
경기도,광명시,2192939.0,12.8,43536.0,2.0
경기도,평택시,2192939.0,12.8,289894.0,13.2
경기도,동두천시,2192939.0,12.8,20173.0,0.9
경기도,안양시 동안구,2192939.0,12.8,32649.0,1.5
경기도,용인시 처인구,2192939.0,12.8,58173.0,2.7
경기도,용인시 기흥구,2192939.0,12.8,63733.0,2.9
경기도,용인시 수지구,2192939.0,12.8,44280.0,2.0
경기도,과천시,2192939.0,12.8,15330.0,0.7
경기도,구리시,2192939.0,12.8,19714.0,0.9
경기도,남양주시,2192939.0,12.8,52886.0,2.4
경기도,오산시,2192939.0,12.8,22846.0,1.0
경기도,시흥시,2192939.0,12.8,61618.0,2.8
경기도,군포시,2192939.0,12.8,26005.0,1.2
경기도,의왕시,2192939.0,12.8,19757.0,0.9
경기도,하남시,2192939.0,12.8,33798.0,1.5
경기도,파주시,2192939.0,12.8,81388.0,3.7
경기도,이천시,2192939.0,12.8,31922.0,1.5
경기도,안성시,2192939.0,12.8,54585.0,2.5
경기도,김포시,2192939.0,12.8,76774.0,3.5
경기도,화성시,2192939.0,12.8,201971.0,9.2
경기도,광주시,2192939.0,12.8,39033.0,1.8
경기도,양주시,2192939.0,12.8,23344.0,1.1
경기도,포천시,2192939.0,12.8,24124.0,1.1
경기도,여주시,2192939.0,12.8,21041.0,1.0
경기도,연천군,2192939.0,12.8,3643.0,0.2
경기도,가평군,2192939.0,12.8,47977.0,2.2
경기도,양평군,2192939.0,12.8,24498.0,1.1
경상남도,고성군,448885.0,2.6,3658.0,0.8
경상남도,창원시 의창구,448885.0,2.6,11021.0,2.5
경상남도,창원시 성산구,448885.0,2.6,26915.0,6.0
경상남도,창원시 마산합포구,448885.0,2.6,10370.0,2.3
경상남도,창원시 마산회원구,448885.0,2.6,5963.0,1.3
경상남도,창원시 진해구,448885.0,2.6,103814.0,23.1
경상남도,진주시,448885.0,2.6,10632.0,2.4
경상남도,통영시,448885.0,2.6,94935.0,21.1
경상남도,사천시,448885.0,2.6,7699.0,1.7
경상남도,김해시,448885.0,2.6,27007.0,6.0
경상남도,밀양시,448885.0,2.6,6031.0,1.3
경상남도,거제시,448885.0,2.6,70147.0,15.6
경상남도,양산시,448885.0,2.6,14953.0,3.3
경상남도,의령군,448885.0,2.6,938.0,0.2
경상남도,함안군,448885.0,2.6,3721.0,0.8
경상남도,창녕군,448885.0,2.6,3973.0,0.9
경상남도,남해군,448885.0,2.6,37587.0,8.4
경상남도,하동군,448885.0,2.6,2609.0,0.6
경상남도,산청군,448885.0,2.6,1583.0,0.4
경상남도,함양군,448885.0,2.6,1449.0,0.3
경상남도,거창군,448885.0,2.6,1724.0,0.4
경상남도,합천군,448885.0,2.6,2157.0,0.5
경상북도,경주시,256823.0,1.5,59174.0,23.0
경상북도,김천시,256823.0,1.5,7474.0,2.9
경상북도,안동시,256823.0,1.5,9655.0,3.8
경상북도,구미시,256823.0,1.5,31830.0,12.4
경상북도,영주시,256823.0,1.5,4919.0,1.9
경상북도,영천시,256823.0,1.5,4705.0,1.8
경상북도,상주시,256823.0,1.5,5862.0,2.3
경상북도,문경시,256823.0,1.5,4817.0,1.9
경상북도,경산시,256823.0,1.5,13610.0,5.3
경상북도,군위군,256823.0,1.5,1564.0,0.6
경상북도,의성군,256823.0,1.5,2419.0,0.9
경상북도,청송군,256823.0,1.5,1652.0,0.6
경상북도,영양군,256823.0,1.5,1344.0,0.5
경상북도,영덕군,256823.0,1.5,8668.0,3.4
경상북도,청도군,256823.0,1.5,2596.0,1.0
경상북도,고령군,256823.0,1.5,2215.0,0.9
경상북도,성주군,256823.0,1.5,3394.0,1.3
경상북도,칠곡군,256823.0,1.5,9643.0,3.8
경상북도,예천군,256823.0,1.5,2638.0,1.0
경상북도,봉화군,256823.0,1.5,2988.0,1.2
경상북도,울진군,256823.0,1.5,7875.0,3.1
경상북도,울릉군,256823.0,1.5,18556.0,7.2
경상북도,포항시 남구,256823.0,1.5,32379.0,12.6
경상북도,포항시 북구,256823.0,1.5,16846.0,6.6
광주광역시,남구,81696.0,0.5,6709.0,8.2
광주광역시,동구,81696.0,0.5,9553.0,11.7
