대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,1.27921543E9,42.3,4015262.0,0.3
쇼핑업,대형쇼핑몰,1.27921543E9,42.3,1.164980017E9,91.1
쇼핑업,레저용품쇼핑,1.27921543E9,42.3,1.0337326E8,8.1
쇼핑업,면세점,1.27921543E9,42.3,6846890.0,0.5
숙박업,기타숙박,1.29371262E8,4.3,5.5067067E7,42.6
숙박업,캠핑장/펜션,1.29371262E8,4.3,157941.0,0.1
숙박업,콘도,1.29371262E8,4.3,7055564.0,5.5
숙박업,호텔,1.29371262E8,4.3,6.709069E7,51.9
식음료업,식음료,1.4172819E9,46.9,1.4172819E9,100.0
여가서비스업,골프장,1.19663123E8,4.0,6.7906916E7,56.7
여가서비스업,관광유원시설,1.19663123E8,4.0,1.1303887E7,9.4
여가서비스업,기타레저,1.19663123E8,4.0,2.3441135E7,19.6
여가서비스업,문화서비스,1.19663123E8,4.0,1.7011186E7,14.2
여행업,여행업,1484189.0,0.0,1484189.0,100.0
운송업,렌터카,7.538858E7,2.5,1515069.0,2.0
운송업,수상운송,7.538858E7,2.5,2803219.0,3.7
운송업,육상운송,7.538858E7,2.5,172924.0,0.2
운송업,항공운송,7.538858E7,2.5,7.0897367E7,94.0
