기초지자체,소비액,전년동기 소비액,전년대비 소비증감률
중구,1.73680036E8,1.37304696E8,26.5
서구,4.651742E7,3.8529923E7,20.7
동구,9.4883699E7,6.9808955E7,35.9
영도구,3.6067437E7,2.8054952E7,28.6
부산진구,4.00177396E8,3.20736753E8,24.8
동래구,1.7212436E8,1.3704786E8,25.6
남구,9.6229414E7,8.4861934E7,13.4
북구,1.96859964E8,1.78500008E8,10.3
해운대구,6.38052089E8,4.795618E8,33.0
사하구,8.0440952E7,6.5754488E7,22.3
금정구,1.16058905E8,9.8764435E7,17.5
강서구,1.8085969E8,1.199002E8,50.8
연제구,1.46718272E8,1.24876678E8,17.5
수영구,1.60724028E8,1.25145841E8,28.4
사상구,1.12087463E8,9.377938E7,19.5
기장군,3.7092336E8,3.20199172E8,15.8
