요일,방문 시간대,방문자 집중률
일요일,00~06시,1.3
일요일,06~11시,3.1
일요일,11~14시,3.4
일요일,14~18시,4.6
일요일,18~21시,2.2
일요일,21~24시,1.0
월요일,00~06시,0.9
월요일,06~11시,3.5
월요일,11~14시,2.6
월요일,14~18시,3.5
월요일,18~21시,1.6
월요일,21~24시,0.7
화요일,00~06시,0.9
화요일,06~11시,3.6
화요일,11~14시,2.6
화요일,14~18시,3.5
화요일,18~21시,1.7
화요일,21~24시,0.8
수요일,00~06시,1.0
수요일,06~11시,3.7
수요일,11~14시,2.6
수요일,14~18시,3.6
수요일,18~21시,1.7
수요일,21~24시,0.8
목요일,00~06시,0.9
목요일,06~11시,3.7
목요일,11~14시,2.6
목요일,14~18시,3.5
목요일,18~21시,1.7
목요일,21~24시,0.8
금요일,00~06시,1.0
금요일,06~11시,4.0
금요일,11~14시,2.9
금요일,14~18시,4.1
금요일,18~21시,2.2
금요일,21~24시,1.1
토요일,00~06시,1.2
토요일,06~11시,3.7
토요일,11~14시,3.5
토요일,14~18시,4.7
토요일,18~21시,2.3
토요일,21~24시,1.2
