요일,방문 시간대,방문자 집중률
일요일,00~06시,2.0
일요일,06~11시,3.4
일요일,11~14시,5.1
일요일,14~18시,7.1
일요일,18~21시,2.7
일요일,21~24시,1.1
월요일,00~06시,1.1
월요일,06~11시,2.5
월요일,11~14시,2.6
월요일,14~18시,3.4
월요일,18~21시,1.5
월요일,21~24시,0.7
화요일,00~06시,1.0
화요일,06~11시,2.5
화요일,11~14시,2.4
화요일,14~18시,3.1
화요일,18~21시,1.4
화요일,21~24시,0.7
수요일,00~06시,1.0
수요일,06~11시,2.5
수요일,11~14시,2.4
수요일,14~18시,3.2
수요일,18~21시,1.5
수요일,21~24시,0.7
목요일,00~06시,0.9
목요일,06~11시,2.5
목요일,11~14시,2.4
목요일,14~18시,3.1
목요일,18~21시,1.5
목요일,21~24시,0.7
금요일,00~06시,1.0
금요일,06~11시,2.6
금요일,11~14시,2.6
금요일,14~18시,3.6
금요일,18~21시,1.9
금요일,21~24시,1.0
토요일,00~06시,1.6
토요일,06~11시,3.3
토요일,11~14시,4.4
토요일,14~18시,6.7
토요일,18~21시,3.2
토요일,21~24시,1.6
