,요일,방문 시간대,방문자 집중률,지역구,방문자수,시간별방문자수
0,일요일,00~06시,0.013000000000000001,강서구,3079993.0,40039.90900000001
1,일요일,06~11시,0.031,강서구,3079993.0,95479.783
2,일요일,11~14시,0.034,강서구,3079993.0,104719.762
3,일요일,14~18시,0.046,강서구,3079993.0,141679.67799999999
4,일요일,18~21시,0.022000000000000002,강서구,3079993.0,67759.846
5,일요일,21~24시,0.01,강서구,3079993.0,30799.93
6,월요일,00~06시,0.009000000000000001,강서구,3079993.0,27719.937
7,월요일,06~11시,0.035,강서구,3079993.0,107799.755
8,월요일,11~14시,0.026000000000000002,강서구,3079993.0,80079.81800000001
9,월요일,14~18시,0.035,강서구,3079993.0,107799.755
10,월요일,18~21시,0.016,강서구,3079993.0,49279.888
11,월요일,21~24시,0.006999999999999999,강서구,3079993.0,21559.950999999997
12,화요일,00~06시,0.009000000000000001,강서구,3079993.0,27719.937
13,화요일,06~11시,0.036000000000000004,강서구,3079993.0,110879.748
14,화요일,11~14시,0.026000000000000002,강서구,3079993.0,80079.81800000001
15,화요일,14~18시,0.035,강서구,3079993.0,107799.755
16,화요일,18~21시,0.017,강서구,3079993.0,52359.881
17,화요일,21~24시,0.008,강서구,3079993.0,24639.944
18,수요일,00~06시,0.01,강서구,3079993.0,30799.93
19,수요일,06~11시,0.037000000000000005,강서구,3079993.0,113959.74100000001
20,수요일,11~14시,0.026000000000000002,강서구,3079993.0,80079.81800000001
21,수요일,14~18시,0.036000000000000004,강서구,3079993.0,110879.748
22,수요일,18~21시,0.017,강서구,3079993.0,52359.881
23,수요일,21~24시,0.008,강서구,3079993.0,24639.944
24,목요일,00~06시,0.009000000000000001,강서구,3079993.0,27719.937
25,목요일,06~11시,0.037000000000000005,강서구,3079993.0,113959.74100000001
26,목요일,11~14시,0.026000000000000002,강서구,3079993.0,80079.81800000001
27,목요일,14~18시,0.035,강서구,3079993.0,107799.755
28,목요일,18~21시,0.017,강서구,3079993.0,52359.881
29,목요일,21~24시,0.008,강서구,3079993.0,24639.944
30,금요일,00~06시,0.01,강서구,3079993.0,30799.93
31,금요일,06~11시,0.04,강서구,3079993.0,123199.72
32,금요일,11~14시,0.028999999999999998,강서구,3079993.0,89319.79699999999
33,금요일,14~18시,0.040999999999999995,강서구,3079993.0,126279.71299999999
34,금요일,18~21시,0.022000000000000002,강서구,3079993.0,67759.846
35,금요일,21~24시,0.011000000000000001,강서구,3079993.0,33879.923
36,토요일,00~06시,0.012,강서구,3079993.0,36959.916
37,토요일,06~11시,0.037000000000000005,강서구,3079993.0,113959.74100000001
38,토요일,11~14시,0.035,강서구,3079993.0,107799.755
39,토요일,14~18시,0.047,강서구,3079993.0,144759.671
40,토요일,18~21시,0.023,강서구,3079993.0,70839.83899999999
41,토요일,21~24시,0.012,강서구,3079993.0,36959.916
0,일요일,00~06시,0.018000000000000002,금정구,2303101.0,41455.81800000001
1,일요일,06~11시,0.03,금정구,2303101.0,69093.03
2,일요일,11~14시,0.035,금정구,2303101.0,80608.535
3,일요일,14~18시,0.046,금정구,2303101.0,105942.646
4,일요일,18~21시,0.022000000000000002,금정구,2303101.0,50668.222
5,일요일,21~24시,0.011000000000000001,금정구,2303101.0,25334.111
6,월요일,00~06시,0.013000000000000001,금정구,2303101.0,29940.313000000002
7,월요일,06~11시,0.03,금정구,2303101.0,69093.03
8,월요일,11~14시,0.024,금정구,2303101.0,55274.424
9,월요일,14~18시,0.032,금정구,2303101.0,73699.232
10,월요일,18~21시,0.018000000000000002,금정구,2303101.0,41455.81800000001
11,월요일,21~24시,0.01,금정구,2303101.0,23031.010000000002
