요일,방문 시간대,방문자 집중률
일요일,00~06시,2.2
일요일,06~11시,2.9
일요일,11~14시,3.6
일요일,14~18시,4.9
일요일,18~21시,2.2
일요일,21~24시,1.2
월요일,00~06시,1.3
월요일,06~11시,2.8
월요일,11~14시,2.6
월요일,14~18시,3.4
월요일,18~21시,1.7
월요일,21~24시,0.9
화요일,00~06시,1.2
화요일,06~11시,2.8
화요일,11~14시,2.5
화요일,14~18시,3.3
화요일,18~21시,1.6
화요일,21~24시,0.9
수요일,00~06시,1.2
수요일,06~11시,2.8
수요일,11~14시,2.5
수요일,14~18시,3.3
수요일,18~21시,1.7
수요일,21~24시,1.0
목요일,00~06시,1.2
목요일,06~11시,2.8
목요일,11~14시,2.5
목요일,14~18시,3.3
목요일,18~21시,1.7
목요일,21~24시,1.0
금요일,00~06시,1.3
금요일,06~11시,2.9
금요일,11~14시,2.7
금요일,14~18시,3.7
금요일,18~21시,2.0
금요일,21~24시,1.3
토요일,00~06시,1.9
토요일,06~11시,3.2
토요일,11~14시,3.8
토요일,14~18시,5.6
토요일,18~21시,2.9
토요일,21~24시,1.8
