요일,방문 시간대,방문자 집중률
일요일,00~06시,2.9
일요일,06~11시,3.2
일요일,11~14시,3.3
일요일,14~18시,4.5
일요일,18~21시,2.4
일요일,21~24시,1.4
월요일,00~06시,1.8
월요일,06~11시,2.5
월요일,11~14시,2.1
월요일,14~18시,2.9
월요일,18~21시,1.7
월요일,21~24시,1.1
화요일,00~06시,1.6
화요일,06~11시,2.5
화요일,11~14시,2.1
화요일,14~18시,2.8
화요일,18~21시,1.7
화요일,21~24시,1.1
수요일,00~06시,1.6
수요일,06~11시,2.5
수요일,11~14시,2.1
수요일,14~18시,2.9
수요일,18~21시,1.7
수요일,21~24시,1.2
목요일,00~06시,1.6
목요일,06~11시,2.5
목요일,11~14시,2.1
목요일,14~18시,3.0
목요일,18~21시,1.8
목요일,21~24시,1.2
금요일,00~06시,1.8
금요일,06~11시,2.7
금요일,11~14시,2.4
금요일,14~18시,3.4
금요일,18~21시,2.2
금요일,21~24시,1.6
토요일,00~06시,2.6
토요일,06~11시,3.2
토요일,11~14시,3.4
토요일,14~18시,5.2
토요일,18~21시,3.2
토요일,21~24시,2.2
