대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
여가서비스업,골프장,6829341.0,3.8,5439373.0,79.6
쇼핑업,관광기념품,3.9264712E7,21.7,11973.0,0.0
여가서비스업,관광유원시설,6829341.0,3.8,40997.0,0.6
여가서비스업,기타레저,6829341.0,3.8,736423.0,10.8
숙박업,기타숙박,2453944.0,1.4,2452058.0,99.9
쇼핑업,대형쇼핑몰,3.9264712E7,21.7,2.207157E7,56.2
쇼핑업,레저용품쇼핑,3.9264712E7,21.7,1.3574816E7,34.6
운송업,렌터카,7.1750117E7,39.7,852749.0,1.2
쇼핑업,면세점,3.9264712E7,21.7,3606353.0,9.2
여가서비스업,문화서비스,6829341.0,3.8,612548.0,9.0
식음료업,식음료,6.0561576E7,33.5,6.0561576E7,100.0
숙박업,캠핑장/펜션,2453944.0,1.4,1886.0,0.1
운송업,항공운송,7.1750117E7,39.7,7.0897367E7,98.8
