대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
여가서비스업,골프장,1.1794954E7,10.2,9974638.0,84.6
쇼핑업,관광기념품,3.1041762E7,26.7,117149.0,0.4
여가서비스업,관광유원시설,1.1794954E7,10.2,22374.0,0.2
여가서비스업,기타레저,1.1794954E7,10.2,1148853.0,9.7
숙박업,기타숙박,1327014.0,1.1,1317621.0,99.3
쇼핑업,대형쇼핑몰,3.1041762E7,26.7,2.0061335E7,64.6
쇼핑업,레저용품쇼핑,3.1041762E7,26.7,1.0863277E7,35.0
운송업,렌터카,8201.0,0.0,1701.0,20.7
여가서비스업,문화서비스,1.1794954E7,10.2,649089.0,5.5
식음료업,식음료,7.1879488E7,61.9,7.1879488E7,100.0
여행업,여행업,7487.0,0.0,7487.0,100.0
운송업,육상운송,8201.0,0.0,6500.0,79.3
숙박업,호텔,1327014.0,1.1,9393.0,0.7
