대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
여가서비스업,골프장,3.1611828E7,8.5,2.1682208E7,68.6
쇼핑업,관광기념품,2.00550384E8,54.1,423400.0,0.2
여가서비스업,관광유원시설,3.1611828E7,8.5,3333681.0,10.5
여가서비스업,기타레저,3.1611828E7,8.5,5503898.0,17.4
숙박업,기타숙박,2.0322734E7,5.5,2990699.0,14.7
쇼핑업,대형쇼핑몰,2.00550384E8,54.1,1.9686633E8,98.2
쇼핑업,레저용품쇼핑,2.00550384E8,54.1,3260653.0,1.6
운송업,렌터카,9966.0,0.0,9966.0,100.0
여가서비스업,문화서비스,3.1611828E7,8.5,1092040.0,3.5
식음료업,식음료,1.18419569E8,31.9,1.18419569E8,100.0
여행업,여행업,8880.0,0.0,8880.0,100.0
숙박업,캠핑장/펜션,2.0322734E7,5.5,109722.0,0.5
숙박업,콘도,2.0322734E7,5.5,4362566.0,21.5
숙박업,호텔,2.0322734E7,5.5,1.2859746E7,63.3
