대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
여가서비스업,골프장,8127088.0,8.4,5240617.0,64.5
쇼핑업,관광기념품,2.1287083E7,22.1,69898.0,0.3
여가서비스업,관광유원시설,8127088.0,8.4,75134.0,0.9
여가서비스업,기타레저,8127088.0,8.4,2160056.0,26.6
숙박업,기타숙박,2755643.0,2.9,2728383.0,99.0
쇼핑업,대형쇼핑몰,2.1287083E7,22.1,1.6960082E7,79.7
쇼핑업,레저용품쇼핑,2.1287083E7,22.1,4257103.0,20.0
운송업,렌터카,2543.0,0.0,2543.0,100.0
여가서비스업,문화서비스,8127088.0,8.4,651282.0,8.0
식음료업,식음료,6.4054993E7,66.6,6.4054993E7,100.0
여행업,여행업,2063.0,0.0,2063.0,100.0
숙박업,캠핑장/펜션,2755643.0,2.9,0.0,0.0
숙박업,콘도,2755643.0,2.9,27260.0,1.0
