대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
여가서비스업,골프장,1.055443E7,11.1,1.0295122E7,97.5
쇼핑업,관광기념품,2.05862E7,21.7,453270.0,2.2
여가서비스업,관광유원시설,1.055443E7,11.1,65592.0,0.6
여가서비스업,기타레저,1.055443E7,11.1,110476.0,1.0
숙박업,기타숙박,3686138.0,3.9,2209936.0,60.0
쇼핑업,대형쇼핑몰,2.05862E7,21.7,1.8609439E7,90.4
쇼핑업,레저용품쇼핑,2.05862E7,21.7,1520513.0,7.4
운송업,렌터카,417550.0,0.4,285504.0,68.4
쇼핑업,면세점,2.05862E7,21.7,2977.0,0.0
여가서비스업,문화서비스,1.055443E7,11.1,83240.0,0.8
운송업,수상운송,417550.0,0.4,5596.0,1.3
식음료업,식음료,5.9022203E7,62.2,5.9022203E7,100.0
여행업,여행업,617177.0,0.7,617177.0,100.0
운송업,육상운송,417550.0,0.4,126450.0,30.3
숙박업,호텔,3686138.0,3.9,1476201.0,40.0
