대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
여가서비스업,골프장,4561332.0,2.7,1883037.0,41.3
쇼핑업,관광기념품,5.3558631E7,31.1,20522.0,0.0
여가서비스업,관광유원시설,4561332.0,2.7,170217.0,3.7
여가서비스업,기타레저,4561332.0,2.7,1236059.0,27.1
숙박업,기타숙박,7964085.0,4.6,2598410.0,32.6
쇼핑업,대형쇼핑몰,5.3558631E7,31.1,4.7106818E7,88.0
쇼핑업,레저용품쇼핑,5.3558631E7,31.1,6431291.0,12.0
운송업,렌터카,59068.0,0.0,58528.0,99.1
여가서비스업,문화서비스,4561332.0,2.7,1272019.0,27.9
식음료업,식음료,1.05944167E8,61.6,1.05944167E8,100.0
여행업,여행업,37076.0,0.0,37076.0,100.0
운송업,육상운송,59068.0,0.0,540.0,0.9
숙박업,콘도,7964085.0,4.6,40789.0,0.5
숙박업,호텔,7964085.0,4.6,5324886.0,66.9
