대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율,지역구
여가서비스업,골프장,6829341.0,3.8,5439373.0,79.6,강서구
쇼핑업,관광기념품,39264712.0,21.7,11973.0,0.0,강서구
여가서비스업,관광유원시설,6829341.0,3.8,40997.0,0.6,강서구
여가서비스업,기타레저,6829341.0,3.8,736423.0,10.8,강서구
숙박업,기타숙박,2453944.0,1.4,2452058.0,99.9,강서구
쇼핑업,대형쇼핑몰,39264712.0,21.7,22071570.0,56.2,강서구
쇼핑업,레저용품쇼핑,39264712.0,21.7,13574816.0,34.6,강서구
운송업,렌터카,71750117.0,39.7,852749.0,1.2,강서구
쇼핑업,면세점,39264712.0,21.7,3606353.0,9.2,강서구
여가서비스업,문화서비스,6829341.0,3.8,612548.0,9.0,강서구
식음료업,식음료,60561576.0,33.5,60561576.0,100.0,강서구
숙박업,캠핑장/펜션,2453944.0,1.4,1886.0,0.1,강서구
운송업,항공운송,71750117.0,39.7,70897367.0,98.8,강서구
여가서비스업,골프장,11794954.0,10.2,9974638.0,84.6,금정구
쇼핑업,관광기념품,31041762.0,26.7,117149.0,0.4,금정구
여가서비스업,관광유원시설,11794954.0,10.2,22374.0,0.2,금정구
여가서비스업,기타레저,11794954.0,10.2,1148853.0,9.7,금정구
숙박업,기타숙박,1327014.0,1.1,1317621.0,99.3,금정구
쇼핑업,대형쇼핑몰,31041762.0,26.7,20061335.0,64.6,금정구
쇼핑업,레저용품쇼핑,31041762.0,26.7,10863277.0,35.0,금정구
운송업,렌터카,8201.0,0.0,1701.0,20.7,금정구
여가서비스업,문화서비스,11794954.0,10.2,649089.0,5.5,금정구
식음료업,식음료,71879488.0,61.9,71879488.0,100.0,금정구
여행업,여행업,7487.0,0.0,7487.0,100.0,금정구
운송업,육상운송,8201.0,0.0,6500.0,79.3,금정구
숙박업,호텔,1327014.0,1.1,9393.0,0.7,금정구
여가서비스업,골프장,31611828.0,8.5,21682208.0,68.6,기장군
쇼핑업,관광기념품,200550384.0,54.1,423400.0,0.2,기장군
여가서비스업,관광유원시설,31611828.0,8.5,3333681.0,10.5,기장군
여가서비스업,기타레저,31611828.0,8.5,5503898.0,17.4,기장군
숙박업,기타숙박,20322734.0,5.5,2990699.0,14.7,기장군
쇼핑업,대형쇼핑몰,200550384.0,54.1,196866330.0,98.2,기장군
쇼핑업,레저용품쇼핑,200550384.0,54.1,3260653.0,1.6,기장군
운송업,렌터카,9966.0,0.0,9966.0,100.0,기장군
여가서비스업,문화서비스,31611828.0,8.5,1092040.0,3.5,기장군
식음료업,식음료,118419569.0,31.9,118419569.0,100.0,기장군
여행업,여행업,8880.0,0.0,8880.0,100.0,기장군
숙박업,캠핑장/펜션,20322734.0,5.5,109722.0,0.5,기장군
숙박업,콘도,20322734.0,5.5,4362566.0,21.5,기장군
숙박업,호텔,20322734.0,5.5,12859746.0,63.3,기장군
여가서비스업,골프장,8127088.0,8.4,5240617.0,64.5,남구
쇼핑업,관광기념품,21287083.0,22.1,69898.0,0.3,남구
여가서비스업,관광유원시설,8127088.0,8.4,75134.0,0.9,남구
여가서비스업,기타레저,8127088.0,8.4,2160056.0,26.6,남구
숙박업,기타숙박,2755643.0,2.9,2728383.0,99.0,남구
쇼핑업,대형쇼핑몰,21287083.0,22.1,16960082.0,79.7,남구
쇼핑업,레저용품쇼핑,21287083.0,22.1,4257103.0,20.0,남구
운송업,렌터카,2543.0,0.0,2543.0,100.0,남구
여가서비스업,문화서비스,8127088.0,8.4,651282.0,8.0,남구
식음료업,식음료,64054993.0,66.6,64054993.0,100.0,남구
여행업,여행업,2063.0,0.0,2063.0,100.0,남구
숙박업,캠핑장/펜션,2755643.0,2.9,0.0,0.0,남구
숙박업,콘도,2755643.0,2.9,27260.0,1.0,남구
여가서비스업,골프장,10554430.0,11.1,10295122.0,97.5,동구
쇼핑업,관광기념품,20586200.0,21.7,453270.0,2.2,동구
여가서비스업,관광유원시설,10554430.0,11.1,65592.0,0.6,동구
여가서비스업,기타레저,10554430.0,11.1,110476.0,1.0,동구
숙박업,기타숙박,3686138.0,3.9,2209936.0,60.0,동구
쇼핑업,대형쇼핑몰,20586200.0,21.7,18609439.0,90.4,동구
쇼핑업,레저용품쇼핑,20586200.0,21.7,1520513.0,7.4,동구
운송업,렌터카,417550.0,0.4,285504.0,68.4,동구
쇼핑업,면세점,20586200.0,21.7,2977.0,0.0,동구
여가서비스업,문화서비스,10554430.0,11.1,83240.0,0.8,동구
운송업,수상운송,417550.0,0.4,5596.0,1.3,동구
식음료업,식음료,59022203.0,62.2,59022203.0,100.0,동구
여행업,여행업,617177.0,0.7,617177.0,100.0,동구
운송업,육상운송,417550.0,0.4,126450.0,30.3,동구
숙박업,호텔,3686138.0,3.9,1476201.0,40.0,동구
여가서비스업,골프장,4561332.0,2.7,1883037.0,41.3,동래구
쇼핑업,관광기념품,53558631.0,31.1,20522.0,0.0,동래구
여가서비스업,관광유원시설,4561332.0,2.7,170217.0,3.7,동래구
여가서비스업,기타레저,4561332.0,2.7,1236059.0,27.1,동래구
숙박업,기타숙박,7964085.0,4.6,2598410.0,32.6,동래구
쇼핑업,대형쇼핑몰,53558631.0,31.1,47106818.0,88.0,동래구
쇼핑업,레저용품쇼핑,53558631.0,31.1,6431291.0,12.0,동래구
운송업,렌터카,59068.0,0.0,58528.0,99.1,동래구
여가서비스업,문화서비스,4561332.0,2.7,1272019.0,27.9,동래구
식음료업,식음료,105944167.0,61.6,105944167.0,100.0,동래구
여행업,여행업,37076.0,0.0,37076.0,100.0,동래구
운송업,육상운송,59068.0,0.0,540.0,0.9,동래구
숙박업,콘도,7964085.0,4.6,40789.0,0.5,동래구
숙박업,호텔,7964085.0,4.6,5324886.0,66.9,동래구
여가서비스업,골프장,9617858.0,2.4,2478058.0,25.8,부산진구
쇼핑업,관광기념품,168359759.0,42.1,721400.0,0.4,부산진구
여가서비스업,관광유원시설,9617858.0,2.4,188243.0,2.0,부산진구
여가서비스업,기타레저,9617858.0,2.4,4168066.0,43.3,부산진구
숙박업,기타숙박,10242237.0,2.6,5017289.0,49.0,부산진구
쇼핑업,대형쇼핑몰,168359759.0,42.1,154657415.0,91.9,부산진구
쇼핑업,레저용품쇼핑,168359759.0,42.1,10275924.0,6.1,부산진구
운송업,렌터카,41910.0,0.0,40910.0,97.6,부산진구
쇼핑업,면세점,168359759.0,42.1,2705020.0,1.6,부산진구
여가서비스업,문화서비스,9617858.0,2.4,2783491.0,28.9,부산진구
식음료업,식음료,211347477.0,52.8,211347477.0,100.0,부산진구
여행업,여행업,568155.0,0.1,568155.0,100.0,부산진구
운송업,육상운송,41910.0,0.0,1000.0,2.4,부산진구
숙박업,캠핑장/펜션,10242237.0,2.6,14815.0,0.1,부산진구
숙박업,콘도,10242237.0,2.6,14956.0,0.1,부산진구
숙박업,호텔,10242237.0,2.6,5195176.0,50.7,부산진구
여가서비스업,골프장,3546295.0,1.8,1860842.0,52.5,북구
쇼핑업,관광기념품,142086775.0,72.2,86250.0,0.1,북구
여가서비스업,관광유원시설,3546295.0,1.8,31053.0,0.9,북구
