대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
여가서비스업,골프장,9617858.0,2.4,2478058.0,25.8
쇼핑업,관광기념품,1.68359759E8,42.1,721400.0,0.4
여가서비스업,관광유원시설,9617858.0,2.4,188243.0,2.0
여가서비스업,기타레저,9617858.0,2.4,4168066.0,43.3
숙박업,기타숙박,1.0242237E7,2.6,5017289.0,49.0
쇼핑업,대형쇼핑몰,1.68359759E8,42.1,1.54657415E8,91.9
쇼핑업,레저용품쇼핑,1.68359759E8,42.1,1.0275924E7,6.1
운송업,렌터카,41910.0,0.0,40910.0,97.6
쇼핑업,면세점,1.68359759E8,42.1,2705020.0,1.6
여가서비스업,문화서비스,9617858.0,2.4,2783491.0,28.9
식음료업,식음료,2.11347477E8,52.8,2.11347477E8,100.0
여행업,여행업,568155.0,0.1,568155.0,100.0
운송업,육상운송,41910.0,0.0,1000.0,2.4
숙박업,캠핑장/펜션,1.0242237E7,2.6,14815.0,0.1
숙박업,콘도,1.0242237E7,2.6,14956.0,0.1
숙박업,호텔,1.0242237E7,2.6,5195176.0,50.7
