대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
여가서비스업,골프장,3546295.0,1.8,1860842.0,52.5
쇼핑업,관광기념품,1.42086775E8,72.2,86250.0,0.1
여가서비스업,관광유원시설,3546295.0,1.8,31053.0,0.9
여가서비스업,기타레저,3546295.0,1.8,973296.0,27.4
숙박업,기타숙박,2314014.0,1.2,2305447.0,99.6
쇼핑업,대형쇼핑몰,1.42086775E8,72.2,1.32598954E8,93.3
쇼핑업,레저용품쇼핑,1.42086775E8,72.2,9401571.0,6.6
운송업,렌터카,3407.0,0.0,3382.0,99.3
여가서비스업,문화서비스,3546295.0,1.8,681104.0,19.2
식음료업,식음료,4.8887599E7,24.8,4.8887599E7,100.0
여행업,여행업,21874.0,0.0,21874.0,100.0
운송업,육상운송,3407.0,0.0,25.0,0.7
숙박업,캠핑장/펜션,2314014.0,1.2,8567.0,0.4
