대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
여가서비스업,골프장,2952409.0,2.6,1638683.0,55.5
쇼핑업,관광기념품,4.0272276E7,35.9,63969.0,0.2
여가서비스업,관광유원시설,2952409.0,2.6,82733.0,2.8
여가서비스업,기타레저,2952409.0,2.6,826445.0,28.0
숙박업,기타숙박,2590339.0,2.3,2533777.0,97.8
쇼핑업,대형쇼핑몰,4.0272276E7,35.9,3.3077979E7,82.1
쇼핑업,레저용품쇼핑,4.0272276E7,35.9,7130328.0,17.7
운송업,렌터카,73619.0,0.1,38637.0,52.5
여가서비스업,문화서비스,2952409.0,2.6,404549.0,13.7
식음료업,식음료,6.6196381E7,59.1,6.6196381E7,100.0
여행업,여행업,2439.0,0.0,2439.0,100.0
운송업,육상운송,73619.0,0.1,34982.0,47.5
숙박업,캠핑장/펜션,2590339.0,2.3,10565.0,0.4
숙박업,콘도,2590339.0,2.3,15776.0,0.6
숙박업,호텔,2590339.0,2.3,30221.0,1.2
