대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
여가서비스업,골프장,3109989.0,3.9,1259693.0,40.5
쇼핑업,관광기념품,2.0643765E7,25.7,135208.0,0.7
여가서비스업,관광유원시설,3109989.0,3.9,91891.0,3.0
여가서비스업,기타레저,3109989.0,3.9,1111956.0,35.8
숙박업,기타숙박,1931936.0,2.4,1931936.0,100.0
쇼핑업,대형쇼핑몰,2.0643765E7,25.7,1.3088098E7,63.4
쇼핑업,레저용품쇼핑,2.0643765E7,25.7,7420459.0,35.9
운송업,렌터카,17292.0,0.0,17292.0,100.0
여가서비스업,문화서비스,3109989.0,3.9,646449.0,20.8
식음료업,식음료,5.4724583E7,68.0,5.4724583E7,100.0
여행업,여행업,13387.0,0.0,13387.0,100.0
숙박업,호텔,1931936.0,2.4,0.0,0.0
