대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
여가서비스업,골프장,4384844.0,9.4,225010.0,5.1
쇼핑업,관광기념품,1853237.0,4.0,26086.0,1.4
여가서비스업,관광유원시설,4384844.0,9.4,3524720.0,80.4
여가서비스업,기타레저,4384844.0,9.4,586351.0,13.4
숙박업,기타숙박,2386940.0,5.1,2299497.0,96.3
쇼핑업,대형쇼핑몰,1853237.0,4.0,399627.0,21.6
쇼핑업,레저용품쇼핑,1853237.0,4.0,1427523.0,77.0
운송업,렌터카,5744.0,0.0,1354.0,23.6
여가서비스업,문화서비스,4384844.0,9.4,48764.0,1.1
운송업,수상운송,5744.0,0.0,4390.0,76.4
식음료업,식음료,3.7877809E7,81.4,3.7877809E7,100.0
여행업,여행업,8846.0,0.0,8846.0,100.0
숙박업,캠핑장/펜션,2386940.0,5.1,0.0,0.0
숙박업,호텔,2386940.0,5.1,87443.0,3.7
