대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
여가서비스업,골프장,2248322.0,1.4,745787.0,33.2
쇼핑업,관광기념품,2.7919824E7,17.4,257476.0,0.9
여가서비스업,관광유원시설,2248322.0,1.4,54417.0,2.4
여가서비스업,기타레저,2248322.0,1.4,1007338.0,44.8
숙박업,기타숙박,4257436.0,2.6,2990592.0,70.2
쇼핑업,대형쇼핑몰,2.7919824E7,17.4,2.2907903E7,82.0
쇼핑업,레저용품쇼핑,2.7919824E7,17.4,4754445.0,17.0
운송업,렌터카,10055.0,0.0,10055.0,100.0
여가서비스업,문화서비스,2248322.0,1.4,440779.0,19.6
식음료업,식음료,1.26284287E8,78.6,1.26284287E8,100.0
여행업,여행업,4104.0,0.0,4104.0,100.0
숙박업,콘도,4257436.0,2.6,0.0,0.0
숙박업,호텔,4257436.0,2.6,1266844.0,29.8
