대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
여가서비스업,골프장,3174096.0,2.2,1506993.0,47.5
쇼핑업,관광기념품,6.0170769E7,41.0,36138.0,0.1
여가서비스업,관광유원시설,3174096.0,2.2,34002.0,1.1
여가서비스업,기타레저,3174096.0,2.2,892302.0,28.1
숙박업,기타숙박,2027600.0,1.4,2022872.0,99.8
쇼핑업,대형쇼핑몰,6.0170769E7,41.0,5.5653993E7,92.5
쇼핑업,레저용품쇼핑,6.0170769E7,41.0,4480637.0,7.4
운송업,렌터카,150052.0,0.1,147172.0,98.1
여가서비스업,문화서비스,3174096.0,2.2,740800.0,23.3
식음료업,식음료,8.1162013E7,55.3,8.1162013E7,100.0
여행업,여행업,33742.0,0.0,33742.0,100.0
운송업,육상운송,150052.0,0.1,2880.0,1.9
숙박업,호텔,2027600.0,1.4,4728.0,0.2
