대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
여가서비스업,골프장,947944.0,2.6,317717.0,33.5
쇼핑업,관광기념품,3682031.0,10.2,94744.0,2.6
여가서비스업,관광유원시설,947944.0,2.6,171604.0,18.1
여가서비스업,기타레저,947944.0,2.6,307645.0,32.5
숙박업,기타숙박,2166784.0,6.0,2166700.0,100.0
쇼핑업,대형쇼핑몰,3682031.0,10.2,2360222.0,64.1
쇼핑업,레저용품쇼핑,3682031.0,10.2,1192011.0,32.4
운송업,렌터카,168560.0,0.5,10995.0,6.5
쇼핑업,면세점,3682031.0,10.2,35053.0,1.0
여가서비스업,문화서비스,947944.0,2.6,150978.0,15.9
운송업,수상운송,168560.0,0.5,157565.0,93.5
식음료업,식음료,2.9100671E7,80.7,2.9100671E7,100.0
여행업,여행업,1447.0,0.0,1447.0,100.0
숙박업,호텔,2166784.0,6.0,84.0,0.0
