대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
여가서비스업,골프장,2065488.0,1.2,126778.0,6.1
쇼핑업,관광기념품,7.1021502E7,40.9,363894.0,0.5
여가서비스업,관광유원시설,2065488.0,1.2,30740.0,1.5
여가서비스업,기타레저,2065488.0,1.2,484029.0,23.4
숙박업,기타숙박,4047741.0,2.3,2872037.0,71.0
쇼핑업,대형쇼핑몰,7.1021502E7,40.9,6.1817995E7,87.0
쇼핑업,레저용품쇼핑,7.1021502E7,40.9,8630449.0,12.2
운송업,렌터카,128282.0,0.1,230.0,0.2
쇼핑업,면세점,7.1021502E7,40.9,209164.0,0.3
여가서비스업,문화서비스,2065488.0,1.2,1423941.0,68.9
운송업,수상운송,128282.0,0.1,128052.0,99.8
식음료업,식음료,9.6366472E7,55.5,9.6366472E7,100.0
여행업,여행업,50551.0,0.0,50551.0,100.0
숙박업,콘도,4047741.0,2.3,1150.0,0.0
숙박업,호텔,4047741.0,2.3,1174554.0,29.0
