대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
여가서비스업,골프장,1.4136904E7,2.2,3232362.0,22.9
쇼핑업,관광기념품,3.7691672E8,59.1,1133884.0,0.3
여가서비스업,관광유원시설,1.4136904E7,2.2,3386489.0,24.0
여가서비스업,기타레저,1.4136904E7,2.2,2187941.0,15.5
숙박업,기타숙박,5.8896679E7,9.2,1.6629813E7,28.2
쇼핑업,대형쇼핑몰,3.7691672E8,59.1,3.66742256E8,97.3
쇼핑업,레저용품쇼핑,3.7691672E8,59.1,8752258.0,2.3
운송업,렌터카,2542213.0,0.4,34051.0,1.3
쇼핑업,면세점,3.7691672E8,59.1,288323.0,0.1
여가서비스업,문화서비스,1.4136904E7,2.2,5330111.0,37.7
운송업,수상운송,2542213.0,0.4,2507615.0,98.6
식음료업,식음료,1.85452611E8,29.1,1.85452611E8,100.0
여행업,여행업,106961.0,0.0,106961.0,100.0
운송업,육상운송,2542213.0,0.4,547.0,0.0
숙박업,캠핑장/펜션,5.8896679E7,9.2,12386.0,0.0
숙박업,콘도,5.8896679E7,9.2,2593067.0,4.4
숙박업,호텔,5.8896679E7,9.2,3.9661413E7,67.3
