충전소,x,y,count,fast_count,slow_count
강변테크노마트 주차장,37.5356993,127.095765,6,5.0,1.0
건국대학교,37.5415596,127.0721872,22,0.0,22.0
건국대학교_서울,37.5415596,127.0721872,3,3.0,0.0
골드팰리스 (중곡동),37.565029,127.0876257,2,0.0,2.0
광성빌딩 (저압수용가),37.535096,127.0804049,2,0.0,2.0
광장 유진스웰,37.5503992,127.1093024,10,0.0,10.0
광장12차현대홈타운입주자대표회의,37.5448436,127.103067,5,0.0,5.0
광장동신동아파밀리에아파트,37.546935,127.1048339,3,0.0,3.0
광장현대3단지아파트,37.5406134,127.09857,8,0.0,8.0
광장힐스테이트 아파트,37.5431792,127.0995622,3,1.0,2.0
광장힐스테이트아파트입주자대표회의,37.5433454,127.0997083,2,0.0,2.0
광장힐스테이트아파트입주자대표회의(SP),37.5433454,127.0997083,4,0.0,4.0
광진 동양파라곤1단지,37.548475,127.0697258,4,0.0,4.0
광진 동양파라곤2단지,37.548475,127.0697258,2,0.0,2.0
광진 이튼타워리버2,37.5354569,127.0691282,3,0.0,3.0
광진 한화꿈에그린,37.5336372,127.0618467,4,0.0,4.0
광진구 실로암사우나,37.5690372,127.0855359,1,0.0,1.0
광진구 자양동 거주자우선주차장 가로등형 충전기,37.5327558,127.0708216,1,1.0,0.0
광진구 청소과 행정차고지,37.5453581,127.1006356,3,0.0,3.0
광진구민체육센터,37.5461886999999,127.1065122,4,2.0,2.0
광진구청 주차장,37.5384193,127.0824491,1,1.0,0.0
광진두산위브파크,37.5483165,127.0709888,2,0.0,2.0
광진두산위브파크,37.5484375,127.0710871,11,0.0,11.0
광진두산위브파크101동,37.5443273,127.0863479,3,0.0,3.0
광진문화예술회관,37.5375194,127.0706501,2,2.0,0.0
광진우체국,37.5377348,127.0904594,10,0.0,10.0
광진정보도서관,37.5510185,127.1105699,2,0.0,2.0
광진하우스토리한강,37.5300164,127.0897927,1,0.0,1.0
광진한화꿈에그린,37.5336372,127.0618467,11,0.0,11.0
광진해모로리버뷰,37.5333558,127.0921206,3,0.0,3.0
구의2동 주택가 공동주차장,37.5530855,127.092896,2,0.0,2.0
구의3동 공영주차장,37.539115,127.0913611,5,5.0,0.0
구의7단지아파트,37.5368372,127.0909305,2,0.0,2.0
구의7단지현대아파트,37.5368372,127.0909305,4,0.0,4.0
구의빌 501호,37.5393184,127.0884484,1,0.0,1.0
구의삼성쉐르빌상가,37.5398369,127.0948552,3,3.0,0.0
구의삼성쉐르빌아파트,37.5399001,127.0948193,5,0.0,5.0
구의스타주유소,37.5370079,127.0831638,2,2.0,0.0
구의아크로리버,37.5360513,127.092836,5,0.0,5.0
구의현대2단지아파트,37.5387348,127.0961255,40,0.0,40.0
구의현대홈시티아파트,37.5374247,127.0830692,4,0.0,4.0
국립정신건강센터,37.564971,127.0856469,5,2.0,3.0
군자 일성파크아파트,37.5513161,127.0725996,2,0.0,2.0
군자동일성아파트상가,37.5513161,127.0725996,3,0.0,3.0
금강케이씨씨아파트,37.5376403,127.0743509,2,0.0,2.0
기아 중곡지점,37.5625472,127.0827421,1,0.0,1.0
능동공영주차장,37.554043,127.0802397,2,0.0,2.0
대성예가 (저압수용가),37.5573945999999,127.0834727,1,0.0,1.0
더샵스타시티 아파트,37.531692,127.074516,5,1.0,4.0
더샵스타시티아파트,37.537559,127.0725703,51,0.0,51.0
뚝도충전소,37.5378471,127.0692084,4,4.0,0.0
래미안파크스위트,37.5458469,127.0900916,3,0.0,3.0
래미안파크스위트아파트 입주자대표회의,37.5458169,127.0900942,20,0.0,20.0
보건복지행정타운 충전소,37.565103,127.084426,4,0.0,4.0
보건복지행정타운(경기북부) 급속충전소,37.565103,127.084426,3,3.0,0.0
빅헤브솔루션 테스트,37.5355072,127.095505,2,0.0,2.0
사단법인나섬공동체,37.5457219,127.098201,1,0.0,1.0
서울 광진구 뚝섬로36길 69 (저압수용가),37.5316023,127.0698171,1,0.0,1.0
