,fid,id,left,top,right,bottom,관광여가오락수,교육수,부동산수,생활서비스수,소매수,숙박수,스포츠수,음식수,총건물수,승차총승객수,하차총승객수,대지면적,단독건물수,건물면적,공동건축물수,60대총인구수,50대총인구수,40대총인구수,30대총인구수,20대총인구수,총인구대비남성비율,총인구대비여성비율,생산가능인구남성비율,생산가능인구여성비율,인구당전기차수,병원수,어린이집수,학교수,주차장주차면수,전기차충전기수,급속충전기수,완속충전기수,전기차충전기유무,급속충전기유무,완속충전기유무,RandomForestClassifier의 P(y=1)_x,XGBClassifier의 P(y=1),LGBMClassifier의 P(y=1),CatBoostClassifier의 P(y=1),RandomForestClassifier의 P(y=1)_y,평균 P(y=1)의 확률,rf_prediction,actual,confusion,label
0,1,790,206153.585523172,449218.165377999,206253.585523172,449118.165377999,0,0,0,3,3,0,0,45,61,0.0,0.0,133.59,23,74.61,0,16,17,26,59,112,0.509727626459144,0.490272373540856,0.525114155251142,0.474885844748858,4.483957385,0,0,0,32.0,0,0,0,0,0,0,0.2801410905271199,0.13563411,0.1389892120309578,1.01835727691899e-05,0.29,0.1689549191017415,1,0,FP,4사분면
1,2,791,206153.585523172,449118.165377999,206253.585523172,449018.165377999,7,0,0,3,4,0,0,38,32,0.0,0.0,220.69,4,113.21,0,0,0,6,6,15,0.622222222222222,0.377777777777778,0.766666666666667,0.233333333333333,0.785128725,0,0,0,140.0,0,0,0,0,0,0,0.1598717612044818,0.015576255,5.136538871506674e-05,4.875576588099844e-09,0.2,0.0750998772090436,1,0,FP,4사분면
8,15,792,206153.585523172,449018.165377999,206253.585523172,448918.165377999,0,0,1,1,3,0,1,15,7,0.0,0.0,522.15,1,191.47,0,6,0,0,0,0,0.636363636363636,0.363636363636364,0.0,0.0,0.191920355,15,0,0,0.0,0,0,0,0,0,0,0.252315215301807,0.17987758,0.1304072363917116,0.0001206419416786,0.2,0.1525441345694772,1,0,FP,4사분면
9,16,793,206153.585523172,448918.165377999,206253.585523172,448818.165377999,1,0,4,7,8,0,0,14,3,352.935483870968,375.070967741935,267.8,0,156.87,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,0,0,0.0,0,0,0,0,0,0,0.3004329335901028,0.23927827,0.0187384920924777,2.983248708528748e-07,0.33,0.177689999160354,1,0,FP,1사분면
15,53,2755,209553.585523172,449918.165377999,209653.585523172,449818.165377999,3,1,1,2,3,0,0,4,17,0.0,0.0,371.7,2,159.63,8,33,41,37,25,28,0.480176211453745,0.519823788546256,0.45859872611465,0.54140127388535,3.960538235,0,0,0,0.0,0,0,0,0,0,0,0.1604418953070445,0.045092054,0.0004323106173728,0.0027881846219177,0.11,0.0637508888515499,1,0,FP,3사분면
19,70,734,206053.585523172,449018.165377999,206153.585523172,448918.165377999,2,2,1,3,2,1,0,17,22,0.0,0.0,326.6,6,118.87,0,0,11,9,10,19,0.471428571428571,0.528571428571429,0.5,0.5,1.22131135,2,0,0,22.0,0,0,0,0,0,0,0.1417104341736694,0.06616997,0.3063299208023061,1.4698993743722116e-05,0.13,0.1288450047414498,1,0,FP,3사분면
20,71,735,206053.585523172,448918.165377999,206153.585523172,448818.165377999,2,2,0,5,2,0,0,13,32,0.0,0.0,137.1,24,80.42,1,36,28,10,34,42,0.551351351351351,0.448648648648649,0.580882352941177,0.419117647058823,3.227751425,0,1,0,104.0,0,0,0,0,0,0,0.1220528552330022,0.028033046,0.0006149292120747,2.6995157798118577e-06,0.12,0.0541407060025433,1,0,FP,3사분면
21,73,733,206053.585523172,449118.165377999,206153.585523172,449018.165377999,7,0,1,4,5,0,0,37,28,0.0,0.0,286.52,6,144.64,0,16,12,38,82,90,0.366795366795367,0.633204633204633,0.363636363636364,0.636363636363636,4.518851995,4,0,0,27.0,0,0,0,0,0,0,0.1509610252663433,0.011751709,4.211525983061382e-05,1.3085192666476203e-10,0.13,0.0585509698463238,1,0,FP,2사분면
28,110,2694,209453.585523172,450218.165377999,209553.585523172,450118.165377999,0,1,2,4,4,0,0,1,6,0.0,0.0,0.0,0,539.31,6,39,37,20,16,25,0.481308411214953,0.518691588785047,0.464566929133858,0.535433070866142,3.73372327,0,0,0,14.0,0,0,0,0,0,0,0.1420492587278813,0.009864386,5.804620971412131e-05,0.0028465900428236,0.18,0.0669636562303043,1,0,FP,3사분면
29,111,2695,209453.585523172,450118.165377999,209553.585523172,450018.165377999,0,0,0,0,2,0,0,1,2,78.0645161290323,113.064516129032,1156.85,0,533.56,1,19,15,14,9,14,0.486725663716814,0.513274336283186,0.515151515151515,0.484848484848485,1.971545465,0,0,0,0.0,0,0,0,0,0,0,0.1838056576797385,0.05021908,0.0073254411760165,0.0002255307277417,0.17,0.0823151421851434,1,0,FP,3사분면
