,fid,id,left,top,right,bottom,관광여가오락수,교육수,부동산수,생활서비스수,소매수,숙박수,스포츠수,음식수,총건물수,승차총승객수,하차총승객수,대지면적,단독건물수,건물면적,공동건축물수,60대총인구수,50대총인구수,40대총인구수,30대총인구수,20대총인구수,총인구대비남성비율,총인구대비여성비율,생산가능인구남성비율,생산가능인구여성비율,인구당전기차수,병원수,어린이집수,학교수,주차장주차면수,전기차충전기수,급속충전기수,완속충전기수,전기차충전기유무,급속충전기유무,완속충전기유무,RandomForestClassifier의 P(y=1)_x,XGBClassifier의 P(y=1),LGBMClassifier의 P(y=1),CatBoostClassifier의 P(y=1),RandomForestClassifier의 P(y=1)_y,평균 P(y=1)의 확률,rf_prediction,actual,confusion,label
2,4,789,206153.585523172,449318.165377999,206253.585523172,449218.165377999,1,0,1,4,0,0,0,20,47,0.0,0.0,169.52,25,91.44,3,24,34,31,71,119,0.487654320987654,0.512345679012346,0.503731343283582,0.496268656716418,5.65292682,0,0,0,40.0,0,0,0,0,0,0,0.179086529279544,0.24137396,0.3348801929501156,0.0004847988466634,0.23,0.1971650954559567,1,0,FP,4사분면
3,6,787,206153.585523172,449518.165377999,206253.585523172,449418.165377999,1,0,2,4,5,0,0,5,46,0.0,0.0,187.36,37,88.0,6,31,40,42,108,223,0.49,0.51,0.5,0.5,8.7236525,1,0,0,181.0,0,0,0,0,0,0,0.1448631535947712,0.026138965,0.0002003926846386,0.0002925950142031,0.13,0.0602990212668116,1,0,FP,3사분면
4,7,784,206153.585523172,449818.165377999,206253.585523172,449718.165377999,5,1,1,8,7,1,2,20,30,0.0,0.0,262.76,11,134.86,4,22,26,39,173,347,0.346581875993641,0.653418124006359,0.342148760330579,0.657851239669421,10.974354845,0,0,0,44.0,0,0,0,0,0,0,0.1622437682586451,0.013400235,3.7483543244429706e-05,3.2828253581410406e-11,0.13,0.0611362974096114,1,0,FP,2사분면
5,9,798,206153.585523172,448418.165377999,206253.585523172,448318.165377999,0,8,1,3,1,0,0,5,9,0.0,0.0,368.24,0,367.53,2,109,147,101,94,90,0.488340192043896,0.511659807956104,0.485074626865672,0.514925373134328,12.719085345,1,1,0,7.0,0,0,0,0,0,0,0.3166185224089636,0.16291101,0.0089080585799123,0.005018920356546,0.34,0.1666913028228334,1,0,FP,1사분면
6,11,796,206153.585523172,448618.165377999,206253.585523172,448518.165377999,1,7,7,8,5,0,2,21,12,0.0,0.0,1242.15,1,156.34,8,62,57,70,49,46,0.46578947368421,0.534210526315789,0.449814126394052,0.550185873605948,6.6299759,1,0,0,0.0,0,0,0,0,0,0,0.3643459609222476,0.4778592,0.804560935666161,1.777936398461683e-06,0.43,0.4153535747143791,1,0,FP,4사분면
7,12,797,206153.585523172,448518.165377999,206253.585523172,448418.165377999,1,5,2,5,3,0,1,3,12,0.0,0.0,1441.67,0,283.19,9,153,165,180,165,101,0.47951582867784,0.52048417132216,0.467123287671233,0.532876712328767,18.73840557,0,0,0,0.0,0,0,0,0,0,0,0.3063244047619047,0.068806365,0.0023682601585185,2.031370693921481e-05,0.39,0.1535038687519388,1,0,FP,1사분면
12,50,2756,209553.585523172,449818.165377999,209653.585523172,449718.165377999,1,2,1,6,4,0,1,5,3,0.0,0.0,231.5,1,420.55,1,106,105,56,62,90,0.47985347985348,0.52014652014652,0.466836734693877,0.533163265306122,9.52622853,0,0,0,0.0,0,0,0,0,0,0,0.2825210724533716,0.065832704,0.0023346305090939,7.864452741256355e-06,0.25,0.1201392543441711,1,0,FP,4사분면
13,51,2757,209553.585523172,449718.165377999,209653.585523172,449618.165377999,1,0,0,0,2,0,0,0,2,0.0,0.0,1546.0,0,493.45,2,71,53,36,60,40,0.478915662650602,0.521084337349398,0.476793248945148,0.523206751054852,5.79250526,0,0,0,52.0,0,0,0,0,0,0,0.347093223254214,0.3751608,0.0004800139755812,0.0308324452478055,0.32,0.2147132991618409,1,0,FP,4사분면
14,52,2754,209553.585523172,450018.165377999,209653.585523172,449918.165377999,0,3,0,4,5,0,0,1,6,0.0,0.0,2038.33,1,591.72,2,36,45,76,94,41,0.432569974554707,0.567430025445293,0.424137931034483,0.575862068965517,6.856790865,2,0,0,0.0,0,0,0,0,0,0,0.2962316176470588,0.13473673,0.0095361079732802,0.0010853757524571,0.31,0.1503179666042483,1,0,FP,4사분면
16,57,726,206053.585523172,449818.165377999,206153.585523172,449718.165377999,0,3,1,3,4,4,1,8,45,0.0,0.0,189.61,17,100.3,12,35,49,66,150,386,0.5,0.5,0.502222222222222,0.497777777777778,12.98079492,0,0,0,0.0,0,0,0,0,0,0,0.266402912174971,0.14358431,0.0022060761494579,0.0044704547587297,0.34,0.1513327508183224,1,0,FP,1사분면
